K01895  	acetyl-CoA synthetase [EC:6.2.1.1]
K00114  	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K04022  	alcohol dehydrogenase
K22473  	alcohol dehydrogenase (quinone), dehydrogenase subunit [EC:1.1.5.5]
K22474  	alcohol dehydrogenase (quinone), cytochrome c subunit [EC:1.1.5.5]
K00925  	acetate kinase [EC:2.7.2.1]
K00625  	phosphate acetyltransferase [EC:2.3.1.8]
K13788  	phosphate acetyltransferase [EC:2.3.1.8]
K15024  	putative phosphotransacetylase [EC:2.3.1.8]
K04020  	phosphotransacetylase
K00873  	pyruvate kinase [EC:2.7.1.40]
K12406  	pyruvate kinase isozymes R/L [EC:2.7.1.40]
K11262  	acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15]
K01946  	acetyl-CoA carboxylase / biotin carboxylase 2 [EC:6.4.1.2 6.3.4.14 2.1.3.15]
K01962  	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
K02160  	acetyl-CoA carboxylase biotin carboxyl carrier protein
K01961  	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
K01963  	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
K11263  	acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K18472  	acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]
K01512  	acylphosphatase [EC:3.6.1.7]
K00128  	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K14085  	aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]
K00149  	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
K00138  	aldehyde dehydrogenase [EC:1.2.1.-]
K01067  	acetyl-CoA hydrolase [EC:3.1.2.1]
K18118  	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]
K01026  	propionate CoA-transferase [EC:2.8.3.1]
K01905  	acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
K22224  	acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]
K24012  	acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]
K00158  	pyruvate oxidase [EC:1.2.3.3]
K00101  	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00016  	L-lactate dehydrogenase [EC:1.1.1.27]
K00156  	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00467  	lactate 2-monooxygenase [EC:1.13.12.4]
K03778  	D-lactate dehydrogenase [EC:1.1.1.28]
K03777  	D-lactate dehydrogenase (quinone) [EC:1.1.5.12]
K21836  	D-lactate dehydrogenase (acceptor) [EC:1.1.99.6]
K00102  	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K18930  	D-lactate dehydrogenase
K21618  	(R)-2-hydroxyglutarate---pyruvate transhydrogenase [EC:1.1.99.40]
K17741  	NADPH-dependent methylglyoxal reductase [EC:1.1.1.283]
K23257  	methylglyoxal/glyoxal reductase [EC:1.1.1.283 1.1.1.-]
K07248  	lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21]
K19266  	lactaldehyde dehydrogenase [EC:1.2.1.22]
K01759  	lactoylglutathione lyase [EC:4.4.1.5]
K01069  	hydroxyacylglutathione hydrolase [EC:3.1.2.6]
K05523  	D-lactate dehydratase / protein deglycase [EC:4.2.1.130 3.5.1.124]
K18881  	D-lactate dehydratase [EC:4.2.1.130]
K22211  	D-lactate dehydratase [EC:4.2.1.130]
K22373  	lactate racemase [EC:5.1.2.1]
K00049  	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K12972  	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00090  	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00027  	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028  	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029  	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K01571  	oxaloacetate decarboxylase (Na+ extruding) subunit alpha [EC:7.2.4.2]
K20509  	carboxybiotin decarboxylase [EC:7.2.4.1]
K01573  	oxaloacetate decarboxylase (Na+ extruding) subunit gamma
K01003  	oxaloacetate decarboxylase [EC:4.1.1.112]
K01958  	pyruvate carboxylase [EC:6.4.1.1]
K01959  	pyruvate carboxylase subunit A [EC:6.4.1.1]
K01960  	pyruvate carboxylase subunit B [EC:6.4.1.1]
K00025  	malate dehydrogenase [EC:1.1.1.37]
K00026  	malate dehydrogenase [EC:1.1.1.37]
K00024  	malate dehydrogenase [EC:1.1.1.37]
K00051  	malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00116  	malate dehydrogenase (quinone) [EC:1.1.5.4]
K01676  	fumarate hydratase, class I [EC:4.2.1.2]
K01677  	fumarate hydratase subunit alpha [EC:4.2.1.2]
K01678  	fumarate hydratase subunit beta [EC:4.2.1.2]
K01679  	fumarate hydratase, class II [EC:4.2.1.2]
K01675  	fumarate hydratase D [EC:4.2.1.2]
K01774  	fumarate hydratase E [EC:4.2.1.2]
K00244  	fumarate reductase flavoprotein subunit [EC:1.3.5.4]
K00245  	fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
K00246  	fumarate reductase subunit C
K00247  	fumarate reductase subunit D
K22212  	malolactic enzyme [EC:4.1.1.101]
K01595  	phosphoenolpyruvate carboxylase [EC:4.1.1.31]
K01596  	phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]
K20370  	phosphoenolpyruvate carboxykinase (diphosphate) [EC:4.1.1.38]
K01610  	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
K01006  	pyruvate, orthophosphate dikinase [EC:2.7.9.1]
K01007  	pyruvate, water dikinase [EC:2.7.9.2]
K01638  	malate synthase [EC:2.3.3.9]
K00626  	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K01649  	2-isopropylmalate synthase [EC:2.3.3.13]
K01655  	homocitrate synthase [EC:2.3.3.14]
K02594  	homocitrate synthase NifV [EC:2.3.3.14]
K10977  	methanogen homocitrate synthase [EC:2.3.3.14 2.3.3.-]
C00022  	Pyruvate
C00024  	Acetyl-CoA
C00033  	Acetate
C00036  	Oxaloacetate
C00042  	Succinate
C00058  	Formate
C00068  	Thiamin diphosphate
C00074  	Phosphoenolpyruvate
C00083  	Malonyl-CoA
C00084  	Acetaldehyde
C00122  	Fumarate
C00149  	(S)-Malate
C00186  	(S)-Lactate
C00227  	Acetyl phosphate
C00256  	(R)-Lactate
C00332  	Acetoacetyl-CoA
C00424  	(S)-Lactaldehyde
C00469  	Ethanol
C00546  	Methylglyoxal
C00937  	(R)-Lactaldehyde
C01251  	(R)-2-Hydroxybutane-1,2,4-tricarboxylate
C02488  	(R)-2-Ethylmalate
C02504  	alpha-Isopropylmalate
C03248  	Acetylenedicarboxylate
C03451  	(R)-S-Lactoylglutathione
C03981  	2-Hydroxyethylenedicarboxylate
C05125  	2-(alpha-Hydroxyethyl)thiamine diphosphate
C05993  	Acetyl adenylate
C05994  	2-Propylmalate
C15972  	Enzyme N6-(lipoyl)lysine
C15973  	Enzyme N6-(dihydrolipoyl)lysine
C16255  	[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine
