PID,HP_X,HP_Y,HP_Z,HR_X,HR_Y,HR_Z,HR_W,LP_X,LP_Y,LP_Z,LR_X,LR_Y,LR_Z,LR_W,RP_X,RP_Y,RP_Z,RR_X,RR_Y,RR_Z,RR_W
1,-0.01151259,3.340071,0.1400283,0.1119935,-0.3231294,-0.03122799,0.9391856,0.001082911,0.2641565,0.2198957,-0.9423983,0.0470257,-0.3073431,0.1233463,0.001082911,0.2641565,0.2198957,0.1233463,-0.3073431,-0.0470257,0.9423983
1,-0.05439805,3.347552,0.07869968,0.1128948,-0.3526761,-0.000618855,0.9289101,-0.01293726,0.2742549,0.1439753,-0.938043,0.03041562,-0.3241869,0.1185459,-0.01293726,0.2742549,0.1439753,0.1185459,-0.3241869,-0.03041562,0.938043
1,-0.07629015,3.31246,-0.05079507,0.1846189,-0.3057447,-0.02583197,0.9336855,-0.05060274,0.2784441,0.07640683,-0.9320226,0.01680009,-0.3381277,0.1293114,-0.05060274,0.2784441,0.07640683,0.1293114,-0.3381277,-0.01680009,0.9320226
1,-0.1224437,3.322365,-0.1579856,0.1908336,-0.2858928,0.01355445,0.9389697,-0.08883268,0.2485765,-0.06876452,-0.9341921,0.01498547,-0.3038664,0.1863482,-0.08883268,0.2485765,-0.06876452,0.1863482,-0.3038664,-0.01498547,0.9341921
1,-0.1921671,3.336171,-0.2967694,0.197244,-0.2429609,0.01170456,0.9496988,-0.1321777,0.2551849,-0.184302,-0.9420217,-0.009526801,-0.2745907,0.1926248,-0.1321777,0.2551849,-0.184302,0.1926248,-0.2745907,0.009526801,0.9420217
1,-0.2719973,3.347446,-0.4277715,0.2296822,-0.1703437,-0.02394258,0.9579436,-0.2041586,0.2675527,-0.312621,-0.952008,-0.00192341,-0.234037,0.1972406,-0.2041586,0.2675527,-0.312621,0.1972406,-0.234037,0.00192341,0.952008
1,-0.3402129,3.337881,-0.5359638,0.2241063,-0.07234602,-0.03678647,0.9711792,-0.2786353,0.2742959,-0.4327476,-0.9615177,0.02365607,-0.1585771,0.2231089,-0.2786353,0.2742959,-0.4327476,0.2231089,-0.1585771,-0.02365607,0.9615177
1,-0.3883909,3.351815,-0.6330594,0.2089031,0.01030362,-0.03510495,0.9772518,-0.3434345,0.272467,-0.5363389,-0.9722413,0.03329014,-0.0700926,0.220739,-0.3434345,0.272467,-0.5363389,0.220739,-0.0700926,-0.03329014,0.9722413
1,-0.401499,3.361128,-0.731261,0.2104389,0.09998739,-0.04405787,0.9714818,-0.3891423,0.2850248,-0.6326149,-0.9771034,0.03502231,0.009082351,0.2096667,-0.3891423,0.2850248,-0.6326149,0.2096667,0.009082351,-0.03502231,0.9771034
1,-0.3933268,3.378336,-0.8194312,0.1850975,0.1605785,-0.03806776,0.9687643,-0.4010559,0.2977424,-0.7545074,-0.9702356,0.04347631,0.1217033,0.204795,-0.4010559,0.2977424,-0.7545074,0.204795,0.1217033,-0.04347631,0.9702356
1,-0.3812632,3.381685,-0.9032753,0.1581445,0.1787153,-0.04695479,0.9699724,-0.3977353,0.3105624,-0.810964,-0.969264,0.04055659,0.1515382,0.1895226,-0.3977353,0.3105624,-0.810964,0.1895226,0.1515382,-0.04055659,0.969264
1,-0.3449938,3.378657,-1.000928,0.157969,0.2115093,-0.04011789,0.9636909,-0.377952,0.3142195,-0.9220322,-0.9681821,0.04763619,0.190003,0.155734,-0.377952,0.3142195,-0.9220322,0.155734,0.190003,-0.04763619,0.9681821
1,-0.2881225,3.389127,-1.12671,0.1948217,0.2515868,-0.08470164,0.9442321,-0.3396069,0.3162514,-1.018777,-0.9621428,0.04118507,0.214546,0.1629575,-0.3396069,0.3162514,-1.018777,0.1629575,0.214546,-0.04118507,0.9621428
1,-0.2189885,3.385083,-1.230022,0.1835079,0.2916698,-0.07259954,0.9359397,-0.2778639,0.3150154,-1.132505,-0.9440261,0.07301249,0.2654181,0.1817616,-0.2778639,0.3150154,-1.132505,0.1817616,0.2654181,-0.07301249,0.9440261
1,-0.1580067,3.383506,-1.319866,0.1779631,0.3166514,-0.07238749,0.9288816,-0.2189948,0.3152868,-1.23424,-0.9353291,0.07574508,0.2931971,0.1829141,-0.2189948,0.3152868,-1.23424,0.1829141,0.2931971,-0.07574508,0.9353291
1,-0.1344841,3.404551,-1.393211,0.1570922,0.308884,-0.05197587,0.9365956,-0.1640735,0.3211731,-1.323509,-0.9323003,0.06655315,0.3094113,0.1750761,-0.1640735,0.3211731,-1.323509,0.1750761,0.3094113,-0.06655315,0.9323003
1,-0.1239271,3.418611,-1.447326,0.1444519,0.3256527,-0.06289593,0.9322704,-0.1368177,0.337827,-1.388794,-0.9344403,0.05365143,0.3147695,0.1576801,-0.1368177,0.337827,-1.388794,0.1576801,0.3147695,-0.05365143,0.9344404
1,-0.1337142,3.418213,-1.481094,0.1396895,0.3537097,-0.08080887,0.9213285,-0.1264242,0.3532982,-1.455932,-0.9298007,0.06213803,0.3331126,0.1436861,-0.1264242,0.3532982,-1.455932,0.1436861,0.3331126,-0.06213803,0.9298007
1,-0.176397,3.417149,-1.482726,0.1333532,0.3780717,-0.08354519,0.9123042,-0.1436642,0.3505707,-1.485517,-0.9186881,0.08032859,0.360787,0.1392563,-0.1436642,0.3505707,-1.485517,0.1392563,0.360787,-0.08032859,0.9186881
1,-0.2573856,3.426313,-1.434578,0.1121061,0.3559306,-0.07770026,0.9245044,-0.1881007,0.3507538,-1.477506,-0.9149777,0.07897188,0.3737164,0.1300587,-0.1881007,0.3507538,-1.477506,0.1300587,0.3737164,-0.07897188,0.9149777
1,-0.3430064,3.445402,-1.383864,0.0822108,0.3936296,-0.0437441,0.9145401,-0.2627223,0.3594368,-1.429147,-0.9198436,0.06444232,0.3699837,0.1133451,-0.2627223,0.3594368,-1.429147,0.1133451,0.3699837,-0.06444232,0.9198436
1,-0.4448153,3.450652,-1.332873,0.07700733,0.4096482,-0.02895609,0.9085261,-0.3516982,0.3780109,-1.379363,-0.9141566,0.04352218,0.3941481,0.08408938,-0.3516982,0.3780109,-1.379363,0.08408938,0.3941481,-0.04352218,0.9141566
1,-0.5104056,3.454888,-1.301628,0.07578439,0.4169484,-0.01058819,0.9057034,-0.3244116,2.842965,-0.6067315,-0.7010599,-0.689147,-0.0470866,0.177128,0.2039749,3.0187,-1.446911,-0.4654178,0.4355773,-0.6469803,0.4184197
1,-0.5618221,3.456881,-1.271195,0.07802203,0.4367995,-0.01002079,0.8961129,-0.3600192,2.536685,-0.3980814,-0.7464252,-0.5461836,-0.3731413,-0.07279018,0.3197728,2.766733,-1.081699,-0.4123525,0.691757,-0.4103917,0.4278042
1,-0.5937793,3.464097,-1.249836,0.06554472,0.4442552,-0.004164859,0.8934897,-0.4203118,2.494373,-0.4312254,-0.7827481,-0.5014349,-0.3515917,-0.1106873,0.535843,2.634402,-0.6736957,-0.3967673,0.7527974,-0.2293539,0.4725131
1,-0.6154517,3.468553,-1.235736,0.05727325,0.45141,0.002141705,0.8904742,-0.5053682,2.486212,-0.4043652,-0.7892546,-0.4797903,-0.3700554,-0.09968727,0.6202258,2.63927,-0.6413113,-0.3707336,0.7693976,-0.2004847,0.4799894
1,-0.6306252,3.472403,-1.224593,0.04969112,0.4620621,0.005905289,0.8854347,-0.525204,2.419857,-0.3349548,-0.7851253,-0.5044281,-0.3564314,-0.0456855,0.6442755,2.642673,-0.6737378,-0.3444974,0.8063606,-0.1621299,0.4525683
1,-0.6448935,3.487109,-1.22156,0.02319337,0.4797963,0.01989377,0.8768477,-0.5193823,2.477368,-0.3517848,-0.7812767,-0.5247093,-0.3359075,-0.03812001,0.6411799,2.934712,-0.7608764,-0.449526,0.7628187,-0.1734967,0.4311993
1,-0.6604782,3.521535,-1.229139,-0.03769872,0.5168744,0.04840301,0.85386,-0.5108286,2.539104,-0.4084726,-0.767162,-0.5595744,-0.3126878,-0.02378002,0.6535989,3.290318,-0.7962269,-0.6143128,0.6502748,-0.223216,0.3872171
1,-0.6958153,3.560798,-1.245604,-0.127193,0.5544919,0.09539551,0.8168601,-0.4530506,2.461762,-0.2367697,-0.7677827,-0.5835009,-0.2542976,-0.07327496,0.5068548,3.698973,-0.8532642,-0.7143067,0.576413,-0.1966222,0.3447517
1,-0.7341992,3.585328,-1.262022,-0.1832177,0.5711136,0.1305631,0.7894389,-0.4753304,2.533007,-0.3225759,-0.7789621,-0.5802512,-0.2331089,-0.0467638,0.4561269,3.907016,-0.8123728,-0.7377982,0.5801123,-0.1518214,0.309958
1,-0.7621962,3.580255,-1.277874,-0.1846933,0.590584,0.1314088,0.7744874,-0.4892385,2.586379,-0.4450499,-0.7381224,-0.5939814,-0.3199176,0.003757538,0.5222301,3.956006,-0.7268917,-0.7061229,0.6037078,-0.1592399,0.3340209
1,-0.7831929,3.537691,-1.300494,-0.1102224,0.6388816,0.07420227,0.7577436,-0.4885814,2.578427,-0.4650237,-0.7786624,-0.5395362,-0.3162164,0.05091879,0.4814042,3.805349,-0.7697049,-0.5445542,0.6811176,-0.2650732,0.4114313
1,-0.7877898,3.486637,-1.319345,-0.02476925,0.6718451,0.01833788,0.7400503,-0.4181238,2.641021,-0.5420026,-0.8214461,-0.4781036,-0.2817832,0.1313072,0.2705739,3.336141,-0.9800753,-0.5395022,0.6600358,-0.306273,0.4236591
1,-0.794883,3.463991,-1.332256,0.01064754,0.6801317,-0.004572837,0.7329983,-0.3149734,2.622362,-0.5347026,-0.8680149,-0.3983645,-0.192004,0.2258103,0.04659503,2.701934,-1.286322,-0.658366,0.4530918,-0.3010072,0.5202468
1,-0.8285742,3.44942,-1.351961,0.03478594,0.6786043,-0.02761709,0.7331599,-0.2722416,2.671542,-0.7088988,-0.8315055,-0.521493,-0.1451662,0.1247818,-0.04327302,2.571516,-1.422453,-0.7393668,0.403701,-0.2676428,0.4676854
1,-0.8491057,3.446758,-1.360345,0.03678896,0.6762348,-0.02925481,0.7351852,-0.2075451,2.706385,-0.8058866,-0.8040535,-0.5818216,-0.04880936,0.1122463,0.07944234,2.740946,-1.412187,-0.5990466,0.6947603,-0.2652119,0.2968399
1,-0.8483779,3.444237,-1.365775,0.03758875,0.6826721,-0.03059632,0.7291157,-0.1815143,2.682212,-0.8466656,-0.8269266,-0.547662,-0.02271546,0.1254705,0.1303959,2.704888,-1.437755,-0.4658661,0.8466654,-0.1438022,0.2131841
1,-0.8444126,3.439366,-1.385796,0.03736922,0.7158622,-0.03464845,0.6963795,-0.1630627,2.656097,-0.9124375,-0.8539991,-0.4979368,0.0192662,0.149577,-0.05615183,2.658425,-1.549564,-0.603411,0.7028607,-0.2477918,0.2836921
1,-0.8567655,3.434668,-1.388984,0.03251721,0.7226167,-0.03883397,0.6893909,-0.1330606,2.647557,-1.103449,-0.8111519,-0.5353812,0.1480744,0.1829577,-0.1581095,2.540692,-1.668472,-0.6914306,0.6064535,-0.2720729,0.2830448
1,-0.8560179,3.442531,-1.390015,0.02532416,0.7045051,-0.03203456,0.7085231,0.1717662,2.66221,-1.154269,-0.8374765,-0.4999287,0.1752824,0.1340915,-0.193717,2.507486,-1.731019,-0.6651413,0.6664065,-0.2368234,0.2395919
1,-0.8376186,3.443128,-1.42101,0.01314574,0.7464948,-0.0356985,0.6643029,0.2021679,2.687088,-1.095324,-0.9369777,-0.3432802,0.003423393,0.0649602,-0.2181292,2.515764,-1.821305,-0.6763433,0.6740056,-0.2167616,0.2032011
1,-0.8319646,3.447556,-1.455851,0.0132285,0.8142666,-0.03664657,0.5791821,-0.06700054,2.560742,-1.129637,-0.8415287,-0.5016719,0.05317356,0.1932031,-0.2400122,2.499989,-1.941082,-0.6696239,0.6958256,-0.2415905,0.09520791
1,-0.8157803,3.448146,-1.435454,0.0217051,0.7785586,-0.02895279,0.6265278,-0.0697753,2.479116,-1.106734,-0.8092515,-0.5272576,0.06860898,0.2498087,-0.1961588,2.584838,-1.954496,-0.6597709,0.712878,-0.2215445,0.08617081
1,-0.8020688,3.452464,-1.389112,0.02384338,0.6912335,-0.01917126,0.7219836,-0.116334,2.463397,-1.089233,-0.7972505,-0.5676559,0.04736453,0.1997875,-0.1155808,2.687084,-1.874757,-0.6594063,0.7171305,-0.2055776,0.09297893
1,-0.7856664,3.453303,-1.373356,0.03943846,0.6658107,-0.0182394,0.7448544,-0.1016668,2.384669,-1.014358,-0.7557061,-0.6234508,0.04780316,0.1947623,-0.0890162,2.821062,-1.718092,-0.6041271,0.7294119,-0.2254253,0.2284123
1,-0.7719383,3.453096,-1.364326,0.04805163,0.6526622,-0.02047467,0.7558465,-0.1494621,2.376701,-0.9625044,-0.7628731,-0.6174476,-0.000578941,0.1917885,0.06985876,2.91775,-1.630469,-0.5417505,0.7446973,-0.2008181,0.3340725
1,-0.763452,3.455455,-1.353909,0.04795228,0.6497843,-0.01993834,0.7583426,-0.1744333,2.37613,-0.9218331,-0.7610335,-0.6229962,-0.02374723,0.179276,0.1723913,2.949886,-1.599446,-0.5127144,0.7658149,-0.1480794,0.3587813
1,-0.757401,3.454348,-1.344598,0.04591655,0.6511422,-0.01969688,0.7573094,-0.1847228,2.365224,-0.8785321,-0.7582218,-0.6286327,-0.03742927,0.1688779,0.2222254,2.958851,-1.575054,-0.491871,0.7863601,-0.09730742,0.3608766
1,-0.7532919,3.459087,-1.336309,0.03579373,0.6555676,-0.01124165,0.754204,-0.1716878,2.371322,-0.8652856,-0.7616519,-0.6261261,-0.0303809,0.1641024,0.2269384,2.964093,-1.56893,-0.4779178,0.8023043,-0.05805118,0.3528917
1,-0.7500146,3.476729,-1.328135,0.009653337,0.656137,0.01158767,0.7544912,-0.1429129,2.376719,-0.8633574,-0.7426692,-0.6515089,-0.0113596,0.1544328,0.2463598,2.987564,-1.566351,-0.5061132,0.7942884,-0.03758769,0.3339799
1,-0.7492145,3.495442,-1.323551,-0.02131001,0.6572024,0.03596399,0.7525539,-0.1423391,2.378726,-0.8565053,-0.7386495,-0.6580141,-0.012834,0.145773,0.2668721,3.055116,-1.575128,-0.5745975,0.743139,-0.07849968,0.3337962
1,-0.7525932,3.522455,-1.318477,-0.06533417,0.6574423,0.07318752,0.7470909,-0.1287617,2.397337,-0.8434486,-0.747489,-0.6472555,-0.01426809,0.1487173,0.251867,3.20013,-1.588703,-0.6639118,0.6592702,-0.05884514,0.3480246
1,-0.7592822,3.545759,-1.314361,-0.1154713,0.6529715,0.1061966,0.7409568,-0.1272425,2.419518,-0.825446,-0.740832,-0.6568767,-0.01184582,0.139788,0.1412202,3.333539,-1.581059,-0.690114,0.631299,-0.05355302,0.3497661
1,-0.7698612,3.562865,-1.309704,-0.1574362,0.6473625,0.1355431,0.7333238,-0.1315402,2.43603,-0.8216022,-0.7386503,-0.6608463,-0.01499234,0.1321109,0.04458401,3.396016,-1.578768,-0.7174453,0.5888282,-0.05783774,0.367707
1,-0.7784449,3.56962,-1.307931,-0.1790783,0.6453522,0.1488617,0.7275243,-0.1364648,2.442198,-0.8176966,-0.7472578,-0.6501409,-0.01529977,0.1367063,-0.04982106,3.385238,-1.557208,-0.7316302,0.5655922,-0.06675617,0.3746549
1,-0.783215,3.569515,-1.311904,-0.1865981,0.6470151,0.1534559,0.7231902,-0.1229636,2.428938,-0.8141395,-0.7522267,-0.6430656,-0.01152034,0.1431396,-0.08230394,3.370481,-1.562854,-0.7156373,0.5810205,-0.03809866,0.385781
1,-0.7855349,3.568608,-1.314984,-0.1887159,0.6497107,0.1526262,0.7203941,-0.1178813,2.44437,-0.8196828,-0.7421691,-0.6553304,-0.003078265,0.1404198,-0.06844897,3.35717,-1.555904,-0.713465,0.582942,-0.08737478,0.3788297
1,-0.7851935,3.566998,-1.318253,-0.1876517,0.651341,0.1486766,0.7200257,-0.119745,2.44531,-0.8199545,-0.7409766,-0.6547979,0.001140651,0.1489701,-0.09380671,3.317017,-1.588169,-0.7628256,0.5125583,-0.1394311,0.3687005
1,-0.7832169,3.565469,-1.320947,-0.184751,0.6558819,0.1444355,0.7175127,-0.1267597,2.443346,-0.8165566,-0.7475707,-0.6468581,0.001912144,0.1506953,-0.1381773,3.2973,-1.6055,-0.7878433,0.4624541,-0.177779,0.3658331
1,-0.7786556,3.564783,-1.323298,-0.1812115,0.6588272,0.1405985,0.7164783,-0.125803,2.440292,-0.8249639,-0.7521493,-0.6390988,0.00500761,0.1606206,-0.1510779,3.322057,-1.616711,-0.8050895,0.5064919,-0.07290909,0.2999685
1,-0.7738412,3.564342,-1.324689,-0.177449,0.6600718,0.1367161,0.7170256,-0.1261194,2.438911,-0.8282921,-0.7518877,-0.6413151,0.005653326,0.1527999,-0.08075219,3.363522,-1.628069,-0.7542983,0.5664852,-0.06750076,0.324919
1,-0.7724183,3.562885,-1.324701,-0.1754261,0.6622959,0.1350346,0.7157901,-0.1286617,2.436281,-0.8268279,-0.7545225,-0.6376474,0.000755073,0.1552451,-0.09353513,3.383303,-1.609869,-0.7276568,0.6189714,0.001983649,0.2956113
1,-0.7766624,3.562769,-1.32318,-0.1775138,0.6599733,0.1373707,0.7169752,-0.1271395,2.438683,-0.825661,-0.7499722,-0.6430348,1.66E-05,0.1550746,-0.09177236,3.391802,-1.594948,-0.7200447,0.62257,-0.002135181,0.3064925
1,-0.7823032,3.564294,-1.32142,-0.1824344,0.6576619,0.1429601,0.7167712,-0.1263822,2.442294,-0.8202571,-0.7392706,-0.6564565,0.001199254,0.1501417,-0.09215568,3.401707,-1.587175,-0.721207,0.6046867,-0.04465348,0.3349935
1,-0.789319,3.568698,-1.32287,-0.1921112,0.6551573,0.1505847,0.7149731,-0.1220459,2.451183,-0.819896,-0.7285885,-0.668997,0.006985002,0.1468091,-0.09545018,3.43661,-1.590891,-0.7317322,0.5876887,-0.05125229,0.3414136
1,-0.8008793,3.574167,-1.324474,-0.2105993,0.6485849,0.1622979,0.7131936,-0.1155584,2.459993,-0.8182651,-0.7163312,-0.6842796,0.01309626,0.1358659,-0.09108373,3.489299,-1.593627,-0.7560331,0.5672036,-0.04167632,0.3239709
1,-0.8198933,3.582871,-1.32283,-0.2502954,0.6294299,0.182,0.7127736,-0.1124267,2.469108,-0.8186855,-0.7073903,-0.6951942,0.01742536,0.1264924,-0.1055042,3.570987,-1.597437,-0.7718555,0.5505707,-0.02082205,0.317297
1,-0.8390309,3.586629,-1.32521,-0.281953,0.6121873,0.1964085,0.7121467,-0.122333,2.46214,-0.8161552,-0.7188471,-0.6839443,0.003506739,0.1243653,-0.1390117,3.607611,-1.59484,-0.7781063,0.5267182,0.001748405,0.3422216
1,-0.8467726,3.586328,-1.32997,-0.2886242,0.6121218,0.198128,0.7090474,-0.1212324,2.452228,-0.8148953,-0.7323194,-0.6697939,-0.007569491,0.1225854,-0.2166358,3.575922,-1.58515,-0.7545283,0.5603515,0.05951385,0.3363799
1,-0.8395072,3.580285,-1.34877,-0.2694744,0.6500552,0.1869034,0.6854771,-0.1312617,2.460818,-0.8225099,-0.7406402,-0.6596941,-0.000431543,0.1274981,-0.2253502,3.572464,-1.593319,-0.7282833,0.5981982,0.05944123,0.3289819
1,-0.8398623,3.55876,-1.38875,-0.2241841,0.7716243,0.1637731,0.5722899,-0.1229028,2.449869,-0.8491085,-0.7492202,-0.631812,0.02656621,0.1969186,-0.1882397,3.54455,-1.611378,-0.7314395,0.6039764,0.0323115,0.3149042
1,-0.8604675,3.5492,-1.392568,-0.2004455,0.8244781,0.1751891,0.4993659,-0.1090747,2.464639,-0.8790937,-0.710924,-0.6358296,0.09368411,0.2855365,-0.178624,3.362139,-1.686702,-0.7328809,0.6231498,-0.007950863,0.2729594
1,-0.870985,3.550054,-1.376963,-0.1881174,0.8292391,0.1839294,0.4930968,-0.09184459,2.48154,-0.9409193,-0.6983925,-0.6642157,0.0583455,0.2601175,-0.1542986,3.303959,-1.847545,-0.8568813,0.402907,-0.07548801,0.3126049
1,-0.8745594,3.5483,-1.360345,-0.1781588,0.8330133,0.1922427,0.4872279,-0.05209642,2.486233,-0.9983619,-0.7472593,-0.5984907,0.08864497,0.2748719,0.001831522,3.58058,-1.974119,-0.7941118,0.5985715,0.02578675,0.1021454
1,-0.8690538,3.544245,-1.337552,-0.1689484,0.8327698,0.2036164,0.4863037,-0.03171947,2.530449,-1.056507,-0.700119,-0.6426398,0.1285765,0.2834001,0.08409256,3.64044,-1.998533,-0.5734876,0.8059349,0.1127873,-0.09412763
1,-0.8617295,3.548522,-1.334684,-0.155676,0.8288144,0.2230587,0.4889545,-0.0613298,2.551916,-1.080753,-0.6598327,-0.684534,0.1399057,0.2765148,-0.1127338,3.502787,-1.967337,-0.7092752,0.7035527,0.03559206,-0.02599066
1,-0.8555956,3.551879,-1.342582,-0.1489102,0.8292,0.2261904,0.4889694,-0.05108447,2.539892,-1.074947,-0.644923,-0.6937926,0.1212807,0.2966769,-0.1179164,3.465032,-2.02458,-0.9133709,0.3802686,0.01688085,0.1444452
1,-0.8554084,3.553705,-1.353721,-0.1438991,0.826224,0.2345854,0.4915452,-0.04319706,2.534747,-1.075267,-0.6644771,-0.6794828,0.1296626,0.2827736,-0.06232247,3.600254,-2.060496,-0.8431638,0.5122558,0.06125064,0.1513842
1,-0.8538491,3.55668,-1.379356,-0.1385325,0.8214942,0.2355025,0.5004945,-0.04594942,2.53314,-1.102434,-0.664196,-0.6835609,0.11694,0.2791294,0.02624925,3.641121,-2.003088,-0.7161466,0.6861722,0.079238,0.1001152
1,-0.8474132,3.55704,-1.38579,-0.1367162,0.8201608,0.2297168,0.505841,-0.04716636,2.540172,-1.113832,-0.6866042,-0.6622086,0.1170326,0.2763295,0.2129276,3.808165,-2.069697,-0.5150512,0.8462639,0.1226111,-0.05938252
1,-0.8364342,3.559601,-1.402491,-0.1365585,0.8133464,0.2335974,0.5150259,-0.05341588,2.531092,-1.121386,-0.6762514,-0.6763986,0.1364331,0.2579828,-0.04528177,3.694138,-1.982769,-0.5557413,0.8265477,0.06656677,-0.05949304
1,-0.821508,3.567256,-1.415919,-0.141286,0.8134977,0.2310921,0.5146419,-0.05733961,2.528935,-1.122401,-0.66121,-0.6965177,0.1123477,0.2550341,-0.1786177,3.523175,-2.014493,-0.7713386,0.6325153,0.01644478,0.06848931
1,-0.7993426,3.575662,-1.429889,-0.1398959,0.8089675,0.2388187,0.5186196,-0.03965313,2.539115,-1.143264,-0.6725219,-0.6845321,0.147975,0.2392353,-0.1306781,3.586781,-2.09144,-0.8321523,0.5216312,0.1083937,0.1538645
1,-0.7753492,3.570261,-1.492578,-0.127727,0.8016396,0.231244,0.5362706,-0.0311442,2.526191,-1.214089,-0.6889382,-0.6639495,0.1630489,0.2407288,0.04819738,3.736554,-2.138717,-0.7453349,0.6211789,0.1547894,0.1861529
1,-0.7455509,3.564709,-1.596028,-0.1310188,0.7836723,0.2113737,0.5692214,-0.04347363,2.507577,-1.245252,-0.7010971,-0.6547999,0.107234,0.2611531,0.131659,3.81922,-2.117929,-0.642314,0.7228289,0.1690211,0.1907431
1,-0.6970725,3.55084,-1.734543,-0.1366504,0.7683327,0.1994795,0.592621,-0.05856103,2.507848,-1.234412,-0.700039,-0.6704795,0.0601314,0.2383003,0.2226245,3.854988,-2.194666,-0.6690639,0.6962398,0.114569,0.2334043
1,-0.6289499,3.536093,-1.905633,-0.1416461,0.7619472,0.1878261,0.6034024,-0.02531398,2.526482,-1.281083,-0.6892709,-0.6921515,0.05887494,0.2058296,0.236503,3.858335,-2.324268,-0.7437556,0.6202776,0.06829185,0.2396238
1,-0.5522118,3.511131,-2.069516,-0.124208,0.7800336,0.1506945,0.594484,0.04544283,2.545875,-1.423259,-0.6747279,-0.7077339,0.07686075,0.1948007,0.3302823,3.808771,-2.519742,-0.7640305,0.603101,0.05789113,0.2217548
1,-0.4833668,3.489437,-2.17143,-0.07076064,0.7983795,0.07341456,0.5934588,0.119832,2.522975,-1.590091,-0.7081022,-0.6600001,0.07741378,0.238743,0.4550284,3.623022,-2.71095,-0.7255437,0.6612757,0.04349939,0.1854958
1,-0.4564793,3.45455,-2.22174,-0.003306808,0.8014385,-0.01054771,0.5979751,0.1373904,2.570115,-1.747197,-0.699093,-0.6609496,0.1093822,0.2499002,0.513668,3.297547,-2.805452,-0.6753865,0.7088191,-0.06536473,0.1927591
1,-0.4750401,3.417194,-2.229381,0.02467252,0.8117371,-0.0629601,0.5800951,0.1768545,2.587291,-1.806581,-0.6873505,-0.6632068,0.1518387,0.2542659,0.4940225,3.006727,-2.818013,-0.619786,0.7418419,-0.1184377,0.2269547
1,-0.5144565,3.388894,-2.207285,0.05430533,0.8129601,-0.11779,0.5676903,0.1765686,2.604927,-1.841403,-0.6478165,-0.6867386,0.2110555,0.2533371,0.4503305,2.721351,-2.811626,-0.5676525,0.784862,-0.1543211,0.1948006
1,-0.5523005,3.364864,-2.163114,0.07617079,0.8131581,-0.1483789,0.557634,0.1832838,2.573835,-1.822848,-0.6559845,-0.6623826,0.2231148,0.2848747,0.4006541,2.435678,-2.757191,-0.4310581,0.8735278,-0.1784129,0.1389498
